bug: c2x in ap_escape_errorlog_item, pair: (c2x, strlen), support: 3, confidence: 75.00%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_check_cmd_context, ap_walk_config), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_check_cmd_context, ap_walk_config), support: 5, confidence: 71.43%
bug: ap_update_child_status_from_indexes in ap_update_child_status, pair: (ap_update_child_status_from_indexes, apr_signal), support: 2, confidence: 66.67%
bug: apr_dir_open in apr_match_glob, pair: (apr_dir_open, qsort), support: 2, confidence: 66.67%
bug: ftok in apr_shm_attach, pair: (ftok, shmctl), support: 2, confidence: 66.67%
bug: shmctl in shm_cleanup_owner, pair: (ftok, shmctl), support: 2, confidence: 66.67%
bug: make_sub_request in ap_sub_req_method_uri, pair: (ap_allow_options, make_sub_request), support: 2, confidence: 66.67%
bug: setsockopt in apr_socket_opt_set, pair: (setsockopt, sock_is_ipv4), support: 3, confidence: 75.00%
bug: ftok in apr_shm_remove, pair: (apr_pstrdup, ftok), support: 2, confidence: 66.67%
bug: ap_soak_end_container in ap_soak_end_container, pair: (ap_soak_end_container, unclosed_directive), support: 2, confidence: 66.67%
bug: ms_release_conn in apr_memcache_stats, pair: (ms_release_conn, strlen), support: 6, confidence: 66.67%
bug: ms_release_conn in apr_memcache_version, pair: (ms_release_conn, strlen), support: 6, confidence: 66.67%
bug: ms_release_conn in mc_version_ping, pair: (ms_release_conn, strlen), support: 6, confidence: 66.67%
bug: ap_make_dirstr_parent in ap_sub_req_method_uri, pair: (ap_make_dirstr_parent, apr_pstrdup), support: 3, confidence: 75.00%
bug: ap_merge_per_dir_configs in ap_fixup_virtual_hosts, pair: (ap_merge_per_dir_configs, apr_fnmatch), support: 3, confidence: 75.00%
bug: apu__sdbm_hash in apu__sdbm_splpage, pair: (apr_sdbm_unlock, apu__sdbm_hash), support: 3, confidence: 75.00%
bug: pthread_sigmask in apr_setup_signal_thread, pair: (pthread_sigmask, sigaddset), support: 2, confidence: 66.67%
bug: sigaddset in set_signals, pair: (pthread_sigmask, sigaddset), support: 2, confidence: 66.67%
bug: ap_cfg_getline in ap_build_config, pair: (ap_cfg_getline, strcasecmp), support: 2, confidence: 66.67%
bug: apr_socket_create in alloc_listener, pair: (apr_pool_create_ex, apr_socket_create), support: 2, confidence: 66.67%
bug: apr_thread_create in apr_thread_pool_create, pair: (apr_thread_cond_signal, apr_thread_create), support: 2, confidence: 66.67%
bug: apr_table_do in ap_send_interim_response, pair: (apr_table_do, apr_table_setn), support: 3, confidence: 75.00%
bug: apr_atomic_inc32 in apu_dso_init, pair: (apr_atomic_inc32, apu_dso_init), support: 2, confidence: 66.67%
bug: apr_atomic_inc32 in dbm_open_type, pair: (apr_atomic_inc32, apu_dso_init), support: 2, confidence: 66.67%
bug: free_container in reslist_cleanup, pair: (create_resource, free_container), support: 2, confidence: 66.67%
bug: free_container in reslist_maint, pair: (create_resource, free_container), support: 2, confidence: 66.67%
bug: get_entry in do_header_line, pair: (get_entry, strncmp), support: 2, confidence: 66.67%
bug: qsort in ap_core_reorder_directories, pair: (qsort, strcmp), support: 4, confidence: 66.67%
bug: qsort in index_directory, pair: (qsort, strcmp), support: 4, confidence: 66.67%
bug: ap_escape_html in ap_log_rerror, pair: (ap_escape_html, apr_pstrcat), support: 2, confidence: 66.67%
bug: apr_parse_addr_port in fix_hostname, pair: (apr_parse_addr_port, strcmp), support: 2, confidence: 66.67%
bug: apr_atomic_dec32 in apu_dso_init, pair: (apr_atomic_dec32, apu_dso_init), support: 2, confidence: 66.67%
bug: apr_atomic_dec32 in dbm_open_type, pair: (apr_atomic_dec32, apu_dso_init), support: 2, confidence: 66.67%
bug: make_sub_request in ap_sub_req_lookup_file, pair: (ap_os_escape_path, make_sub_request), support: 2, confidence: 66.67%
bug: make_sub_request in ap_sub_req_method_uri, pair: (ap_os_escape_path, make_sub_request), support: 2, confidence: 66.67%
bug: ap_find_path_info in ap_sub_req_lookup_dirent, pair: (ap_find_path_info, strcmp), support: 2, confidence: 66.67%
bug: write_page in makroom, pair: (apr_sdbm_rdonly, write_page), support: 2, confidence: 66.67%
bug: ap_cfg_closefile in process_command_config, pair: (ap_cfg_closefile, apr_pstrdup), support: 2, confidence: 66.67%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_hash_make, apr_pool_parent_get), support: 3, confidence: 75.00%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: unclosed_directive in start_ifdefine, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: unclosed_directive in start_ifmod, pair: (ap_walk_config, unclosed_directive), support: 5, confidence: 71.43%
bug: get_entry in do_header_line, pair: (get_entry, set_mime_fields), support: 2, confidence: 66.67%
bug: ap_create_per_dir_config in ap_init_virtual_host, pair: (ap_create_per_dir_config, ap_walk_config), support: 4, confidence: 80.00%
bug: strcpy in apr_strfsize, pair: (strcpy, strlen), support: 7, confidence: 87.50%
bug: apr_memcache_disable_server in mget_conn_result, pair: (apr_memcache_disable_server, apr_memcache_hash), support: 5, confidence: 83.33%
bug: apr_dir_open in apr_match_glob, pair: (apr_dir_open, strcmp), support: 2, confidence: 66.67%
bug: ms_release_conn in mget_conn_result, pair: (ms_find_conn, ms_release_conn), support: 8, confidence: 88.89%
bug: ap_merge_per_dir_configs in ap_fixup_virtual_hosts, pair: (ap_merge_per_dir_configs, strcmp), support: 3, confidence: 75.00%
bug: get_entry in do_header_line, pair: (clean_var_rec, get_entry), support: 2, confidence: 66.67%
bug: apr_memcache_disable_server in mget_conn_result, pair: (apr_memcache_disable_server, apr_memcache_find_server_hash), support: 5, confidence: 83.33%
bug: move_block in apr_rmm_free, pair: (find_block_of_size, move_block), support: 2, confidence: 66.67%
bug: move_block in apr_rmm_malloc, pair: (find_block_of_size, move_block), support: 2, confidence: 66.67%
bug: apr_bucket_heap_make in apr_bucket_heap_create, pair: (apr_bucket_free, apr_bucket_heap_make), support: 2, confidence: 66.67%
bug: apr_md5_update in apr_md5_final, pair: (apr_md5_init, apr_md5_update), support: 4, confidence: 80.00%
bug: write_page in apr_sdbm_delete, pair: (apu__sdbm_fitpair, write_page), support: 2, confidence: 66.67%
bug: apr_fnmatch_test in add_desc, pair: (apr_fnmatch_test, strcmp), support: 4, confidence: 80.00%
bug: apr_file_flush_locked in apr_file_buffer_set, pair: (__errno_location, apr_file_flush_locked), support: 7, confidence: 70.00%
bug: apr_file_flush_locked in apr_file_flush, pair: (__errno_location, apr_file_flush_locked), support: 7, confidence: 70.00%
bug: apr_file_flush_locked in apr_file_gets, pair: (__errno_location, apr_file_flush_locked), support: 7, confidence: 70.00%
bug: ap_cfg_closefile in process_command_config, pair: (ap_cfg_closefile, strcmp), support: 2, confidence: 66.67%
bug: apr_hook_debug_show in ap_hook_default_port, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_http_scheme, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_log_transaction, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_post_read_request, pair: (apr_array_make, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: ap_note_auth_failure in check_user_access1383, pair: (ap_note_auth_failure, strcasecmp), support: 3, confidence: 75.00%
bug: ap_is_recursion_limit_exceeded in ap_sub_req_method_uri, pair: (ap_allow_options, ap_is_recursion_limit_exceeded), support: 2, confidence: 66.67%
bug: ap_soak_end_container in ap_soak_end_container, pair: (ap_soak_end_container, strrchr), support: 2, confidence: 66.67%
bug: shmget in apr_shm_remove, pair: (apr_pstrdup, shmget), support: 2, confidence: 66.67%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_getword_conf, ap_set_config_vectors), support: 3, confidence: 75.00%
bug: apr_dir_open in apr_match_glob, pair: (apr_dir_open, apr_strerror), support: 2, confidence: 66.67%
bug: unclosed_directive in start_ifdefine, pair: (ap_check_cmd_context, unclosed_directive), support: 5, confidence: 71.43%
bug: unclosed_directive in start_ifmod, pair: (ap_check_cmd_context, unclosed_directive), support: 5, confidence: 71.43%
bug: apr_hash_first in apr_hash_clear, pair: (apr_hash_first, apr_hash_this), support: 4, confidence: 66.67%
bug: apr_hash_first in expand_array, pair: (apr_hash_first, apr_hash_this), support: 4, confidence: 66.67%
bug: apr_hash_first in make_allow, pair: (apr_hash_first, apr_hash_this), support: 4, confidence: 66.67%
bug: apr_atomic_set32 in dbm_open_type, pair: (apr_atomic_set32, apr_thread_mutex_create), support: 2, confidence: 66.67%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_getword_conf, ap_walk_config), support: 5, confidence: 71.43%
bug: ap_walk_config in virtualhost_section, pair: (ap_getword_conf, ap_walk_config), support: 5, confidence: 71.43%
bug: apr_thread_mutex_create in apr_dbd_init, pair: (apr_palloc, apr_thread_mutex_create), support: 7, confidence: 70.00%
bug: apr_thread_mutex_create in apr_pool_initialize, pair: (apr_palloc, apr_thread_mutex_create), support: 7, confidence: 70.00%
bug: apr_thread_mutex_create in apu_dso_init, pair: (apr_palloc, apr_thread_mutex_create), support: 7, confidence: 70.00%
bug: shmget in apr_shm_remove, pair: (apr_pool_cleanup_register, shmget), support: 2, confidence: 66.67%
bug: apr_table_make in apr_table_clone, pair: (apr_palloc, apr_table_make), support: 2, confidence: 66.67%
bug: apr_memcache_find_server_hash in apr_memcache_multgetp, pair: (apr_memcache_find_server_hash, ms_bad_conn), support: 4, confidence: 80.00%
bug: apr_getnameinfo in ap_get_remote_host, pair: (apr_getnameinfo, apr_pstrdup), support: 3, confidence: 75.00%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_dec32, apr_pool_parent_get), support: 3, confidence: 75.00%
bug: ap_soak_end_container in ap_soak_end_container, pair: (ap_build_cont_config, ap_soak_end_container), support: 2, confidence: 66.67%
bug: alloc_socket in apr_os_sock_put, pair: (alloc_socket, apr_pool_cleanup_register), support: 3, confidence: 75.00%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, strrchr), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, strrchr), support: 5, confidence: 71.43%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_pregcomp, ap_set_config_vectors), support: 3, confidence: 75.00%
bug: apr_dir_open in apr_match_glob, pair: (apr_dir_open, process_resource_config_nofnmatch), support: 2, confidence: 66.67%
bug: apr_dir_open in process_resource_config_nofnmatch, pair: (apr_dir_open, process_resource_config_nofnmatch), support: 2, confidence: 66.67%
bug: find_default_item in make_parent_entry, pair: (find_default_item, strlen), support: 2, confidence: 66.67%
bug: kill in apr_proc_kill, pair: (ap_log_error, kill), support: 5, confidence: 83.33%
bug: apr_socket_sendv in apr_socket_sendfile, pair: (apr_socket_sendv, get_server_line), support: 8, confidence: 72.73%
bug: apr_socket_sendv in conn_clean, pair: (apr_socket_sendv, get_server_line), support: 8, confidence: 72.73%
bug: apr_socket_sendv in writev_it_all, pair: (apr_socket_sendv, get_server_line), support: 8, confidence: 72.73%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, apr_pstrndup), support: 3, confidence: 75.00%
bug: ap_update_child_status_from_indexes in ap_update_child_status, pair: (ap_update_child_status_from_indexes, sleep), support: 2, confidence: 66.67%
bug: ap_update_child_status_from_indexes in make_child, pair: (ap_update_child_status_from_indexes, sleep), support: 2, confidence: 66.67%
bug: ap_make_dirstr_parent in ap_directory_walk, pair: (ap_is_recursion_limit_exceeded, ap_make_dirstr_parent), support: 3, confidence: 75.00%
bug: ap_make_dirstr_parent in ap_directory_walk, pair: (ap_make_dirstr_parent, ap_process_request_internal), support: 3, confidence: 75.00%
bug: pthread_sigmask in apr_setup_signal_thread, pair: (pthread_sigmask, sigemptyset), support: 2, confidence: 66.67%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_set_config_vectors, missing_container_arg), support: 3, confidence: 75.00%
bug: apr_time_exp_gmt in apr_rfc822_date, pair: (apr_time_exp_gmt, apr_time_exp_lt), support: 2, confidence: 66.67%
bug: apr_memcache_disable_server in apr_memcache_multgetp, pair: (apr_memcache_disable_server, ms_bad_conn), support: 5, confidence: 83.33%
bug: ap_build_config in process_command_config, pair: (ap_build_config, ap_make_full_path), support: 2, confidence: 66.67%
bug: ap_build_config in process_resource_config_nofnmatch, pair: (ap_build_config, ap_make_full_path), support: 2, confidence: 66.67%
bug: ap_build_config in process_command_config, pair: (ap_build_config, apr_pstrdup), support: 2, confidence: 66.67%
bug: poll in apr_wait_for_io_or_timeout, pair: (get_revent, poll), support: 3, confidence: 75.00%
bug: ftok in apr_shm_remove, pair: (apr_palloc, ftok), support: 2, confidence: 66.67%
bug: apr_file_flush_locked in apr_file_info_get_locked, pair: (apr_file_flush_locked, apr_thread_mutex_lock), support: 7, confidence: 70.00%
bug: apr_file_flush_locked in file_read_buffered, pair: (apr_file_flush_locked, apr_thread_mutex_lock), support: 7, confidence: 70.00%
bug: table_reindex in apr_table_overlay, pair: (strcasecmp, table_reindex), support: 4, confidence: 80.00%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_inc32, apr_pool_parent_get), support: 3, confidence: 75.00%
bug: ap_merge_per_dir_configs in ap_fixup_virtual_hosts, pair: (ap_merge_per_dir_configs, ap_regexec), support: 3, confidence: 75.00%
bug: apr_file_read_full in ap_read_pid, pair: (apr_file_read_full, apr_file_seek), support: 2, confidence: 66.67%
bug: ap_make_dirstr_parent in ap_directory_walk, pair: (ap_make_dirstr_parent, make_sub_request), support: 3, confidence: 75.00%
bug: apr_hook_debug_show in ap_hook_default_port, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_http_scheme, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_log_transaction, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_post_read_request, pair: (apr_array_push, apr_hook_debug_show), support: 28, confidence: 87.50%
bug: ms_release_conn in apr_memcache_stats, pair: (apr_memcache_disable_server, ms_release_conn), support: 6, confidence: 66.67%
bug: ms_release_conn in apr_memcache_version, pair: (apr_memcache_disable_server, ms_release_conn), support: 6, confidence: 66.67%
bug: ms_release_conn in mc_version_ping, pair: (apr_memcache_disable_server, ms_release_conn), support: 6, confidence: 66.67%
bug: apr_atomic_inc32 in dbm_open_type, pair: (apr_atomic_inc32, apr_thread_mutex_create), support: 2, confidence: 66.67%
bug: ms_release_conn in mget_conn_result, pair: (get_server_line, ms_release_conn), support: 8, confidence: 88.89%
bug: ap_merge_per_dir_configs in ap_fixup_virtual_hosts, pair: (ap_merge_per_dir_configs, prep_walk_cache), support: 3, confidence: 75.00%
bug: ap_merge_per_dir_configs in ap_location_walk, pair: (ap_merge_per_dir_configs, prep_walk_cache), support: 3, confidence: 75.00%
bug: apr_dir_open in apr_match_glob, pair: (ap_is_directory, apr_dir_open), support: 2, confidence: 66.67%
bug: destroy_resource in reslist_maint, pair: (destroy_resource, pop_resource), support: 2, confidence: 66.67%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_check_cmd_context, ap_set_config_vectors), support: 3, confidence: 75.00%
bug: apr_parse_addr_port in fix_hostname, pair: (apr_parse_addr_port, apr_pstrdup), support: 2, confidence: 66.67%
bug: ms_release_conn in apr_memcache_multgetp, pair: (ms_bad_conn, ms_release_conn), support: 8, confidence: 88.89%
bug: apr_socket_sendv in apr_socket_sendfile, pair: (apr_socket_sendv, ms_find_conn), support: 8, confidence: 72.73%
bug: apr_socket_sendv in conn_clean, pair: (apr_socket_sendv, ms_find_conn), support: 8, confidence: 72.73%
bug: apr_socket_sendv in writev_it_all, pair: (apr_socket_sendv, ms_find_conn), support: 8, confidence: 72.73%
bug: getpage in apr_sdbm_fetch, pair: (apu__sdbm_delpair, getpage), support: 2, confidence: 66.67%
bug: getpage in apr_sdbm_store, pair: (apu__sdbm_delpair, getpage), support: 2, confidence: 66.67%
bug: apr_fnmatch_test in add_desc, pair: (apr_fnmatch_test, strrchr), support: 4, confidence: 80.00%
bug: fill_out_finfo in apr_stat, pair: (fill_out_finfo, fstat), support: 2, confidence: 66.67%
bug: ap_soak_end_container in ap_soak_end_container, pair: (ap_soak_end_container, missing_container_arg), support: 2, confidence: 66.67%
bug: shmget in apr_shm_attach, pair: (shmctl, shmget), support: 2, confidence: 66.67%
bug: shmctl in shm_cleanup_owner, pair: (shmctl, shmget), support: 2, confidence: 66.67%
bug: update_r_in_filters in ap_internal_fast_redirect, pair: (apr_table_setn, update_r_in_filters), support: 2, confidence: 66.67%
bug: c2x in ap_escape_errorlog_item, pair: (apr_palloc, c2x), support: 3, confidence: 75.00%
bug: ap_update_child_status in ap_lingering_close, pair: (ap_log_error, ap_update_child_status), support: 2, confidence: 66.67%
bug: open in apr_file_open, pair: (close, open), support: 2, confidence: 66.67%
bug: ap_build_config in process_command_config, pair: (ap_build_config, strcmp), support: 2, confidence: 66.67%
bug: get_entry in do_header_line, pair: (get_entry, set_vlist_validator), support: 2, confidence: 66.67%
bug: apr_sockaddr_ip_get in ap_get_local_host, pair: (ap_log_error, apr_sockaddr_ip_get), support: 2, confidence: 66.67%
bug: ap_is_recursion_limit_exceeded in ap_sub_req_lookup_file, pair: (ap_is_recursion_limit_exceeded, ap_os_escape_path), support: 2, confidence: 66.67%
bug: ap_is_recursion_limit_exceeded in ap_sub_req_method_uri, pair: (ap_is_recursion_limit_exceeded, ap_os_escape_path), support: 2, confidence: 66.67%
bug: apr_memcache_disable_server in mget_conn_result, pair: (apr_memcache_disable_server, get_server_line), support: 5, confidence: 83.33%
bug: apr_atomic_read32 in apu_dso_init, pair: (apr_atomic_read32, apu_dso_init), support: 2, confidence: 66.67%
bug: apr_atomic_read32 in dbm_open_type, pair: (apr_atomic_read32, apu_dso_init), support: 2, confidence: 66.67%
bug: set_socket_vars in apr_os_sock_put, pair: (apr_pool_cleanup_register, set_socket_vars), support: 3, confidence: 75.00%
bug: apr_memcache_disable_server in mget_conn_result, pair: (apr_memcache_disable_server, strncmp), support: 4, confidence: 66.67%
bug: semctl in proc_mutex_sysv_cleanup, pair: (__errno_location, semctl), support: 2, confidence: 66.67%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_set32, apr_pool_parent_get), support: 3, confidence: 75.00%
bug: ap_process_request_internal in ap_sub_req_method_uri, pair: (ap_allow_options, ap_process_request_internal), support: 2, confidence: 66.67%
bug: sigaction in apr_signal, pair: (ap_log_error, sigaction), support: 2, confidence: 66.67%
bug: ap_rputs in do_emit_plain, pair: (ap_rputs, ap_rvputs), support: 4, confidence: 66.67%
bug: ap_rvputs in emit_head, pair: (ap_rputs, ap_rvputs), support: 4, confidence: 80.00%
bug: ap_rputs in emit_tail, pair: (ap_rputs, ap_rvputs), support: 4, confidence: 66.67%
bug: ap_cfg_closefile in process_command_config, pair: (ap_cfg_closefile, ap_pcfg_openfile), support: 2, confidence: 66.67%
bug: ap_cfg_closefile in process_resource_config_nofnmatch, pair: (ap_cfg_closefile, ap_pcfg_openfile), support: 2, confidence: 66.67%
bug: apr_socket_create in alloc_listener, pair: (apr_pool_destroy, apr_socket_create), support: 2, confidence: 66.67%
bug: ftok in apr_shm_remove, pair: (ftok, shmat), support: 2, confidence: 66.67%
bug: apr_atomic_read32 in dbm_open_type, pair: (apr_atomic_read32, apr_thread_mutex_create), support: 2, confidence: 66.67%
bug: ap_graceful_stop_signalled in ap_set_keepalive, pair: (ap_graceful_stop_signalled, ap_read_request), support: 2, confidence: 66.67%
bug: ap_create_per_dir_config in ap_init_virtual_host, pair: (ap_create_per_dir_config, ap_getword_conf), support: 4, confidence: 80.00%
bug: ap_discard_request_body in ap_finalize_request_protocol, pair: (ap_discard_request_body, strcmp), support: 2, confidence: 66.67%
bug: find_default_item in output_directories, pair: (find_default_item, toupper), support: 2, confidence: 66.67%
bug: ap_process_request_internal in ap_sub_req_method_uri, pair: (ap_process_request_internal, apr_pstrdup), support: 2, confidence: 66.67%
bug: free_container in reslist_cleanup, pair: (apr_time_now, free_container), support: 2, confidence: 66.67%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, apr_pstrndup), support: 5, confidence: 71.43%
bug: ap_walk_config in ap_process_config_tree, pair: (ap_walk_config, apr_pstrndup), support: 5, confidence: 71.43%
bug: getpage in apr_sdbm_fetch, pair: (getpage, write_page), support: 2, confidence: 66.67%
bug: write_page in makroom, pair: (getpage, write_page), support: 2, confidence: 66.67%
bug: ap_set_config_vectors in ap_walk_config_sub, pair: (ap_create_per_dir_config, ap_set_config_vectors), support: 3, confidence: 75.00%
bug: apr_thread_mutex_create in apr_memcache_server_create, pair: (apr_pool_cleanup_register, apr_thread_mutex_create), support: 7, confidence: 70.00%
bug: apr_thread_mutex_create in apr_pool_initialize, pair: (apr_pool_cleanup_register, apr_thread_mutex_create), support: 7, confidence: 70.00%
bug: apr_hash_next in apr_hash_do, pair: (apr_hash_first, apr_hash_next), support: 6, confidence: 75.00%
